                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83119,                 2.2703,                 1.3737,                  0.004,                      1,                0.89099,                0.63542,                0.68876,                  2.717,                 1.3117,                0.00032,                0.00032,                0.00032
                      2,                0.95038,                 1.6359,                 1.4009,                0.68278,                 0.8372,                 0.8466,                0.55926,                 1.1044,                 2.1585,                 1.9718,             0.00065782,             0.00065782,             0.00065782
                      3,                0.98186,                  1.516,                 1.4585,                0.55217,                0.61674,                0.63339,                0.43199,                 1.1615,                 2.3427,                 1.8544,              0.0009934,              0.0009934,              0.0009934
                      4,                 1.0562,                 1.5099,                 1.5024,                0.75847,                0.69868,                0.59032,                0.23178,                 1.9965,                 2.4297,                 2.8506,              0.0013267,              0.0013267,              0.0013267
                      5,                 1.0486,                 1.5205,                 1.4921,                0.22133,                0.33333,                0.11833,                0.03189,                 3.2124,                 3.7449,                 4.0341,              0.0016578,              0.0016578,              0.0016578
                      6,                 1.1417,                 1.5221,                 1.5863,                0.66051,                0.72222,                 0.6785,                0.33947,                 1.3841,                 2.2348,                 2.2219,               0.001967,               0.001967,               0.001967
                      7,                 1.1421,                 1.4961,                 1.5363,                0.45644,                    0.5,                  0.464,                0.22353,                 1.6065,                 3.5153,                  2.392,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.0835,                 1.4177,                 1.4868,                 0.7246,                0.66667,                0.67526,                0.29052,                 1.5122,                 2.7132,                 2.6732,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.0543,                 1.3923,                 1.5171,                0.66947,                0.90057,                0.89004,                0.40583,                 1.3294,                 2.7465,                 2.1393,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.0615,                 1.3805,                 1.4799,                0.68081,                0.66667,                0.68973,                0.39937,                 1.4323,                 1.8249,                 2.2313,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.1439,                 1.4331,                 1.5763,                0.86635,                0.72037,                 0.7981,                0.39346,                 1.3685,                 1.7732,                 2.3026,               0.001934,               0.001934,               0.001934
                     12,                 1.0973,                 1.3961,                 1.4896,                 0.8726,                0.76181,                0.86243,                0.48424,                 1.4047,                  1.461,                 2.0751,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.1256,                  1.392,                 1.5497,                0.69618,                0.76433,                0.75081,                0.44918,                 1.2957,                 1.9515,                 2.0812,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.0429,                 1.3436,                 1.4962,                0.69753,                0.77778,                0.72062,                0.44685,                  1.315,                 2.3702,                 2.1897,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.0404,                 1.2732,                 1.4358,                0.45752,                0.75013,                0.62447,                0.35592,                 1.2946,                 1.8743,                 2.1343,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.0408,                 1.2415,                 1.4761,                0.51182,                0.87405,                0.73211,                0.32156,                 1.4809,                 1.7215,                 2.2106,               0.001901,               0.001901,               0.001901
                     17,                 1.0387,                 1.2132,                 1.4628,                0.63942,                0.44444,                0.45928,                0.15382,                 2.1748,                 2.4018,                  2.849,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.0591,                 1.1838,                 1.5099,                0.85494,                0.65554,                0.81227,                0.47157,                 1.3679,                 1.3836,                 2.0256,              0.0018878,              0.0018878,              0.0018878
                     19,                  1.002,                 1.1267,                 1.4317,                0.70518,                0.83333,                0.81038,                0.45507,                 1.4046,                 1.8025,                 2.2551,              0.0018812,              0.0018812,              0.0018812
                     20,                0.93524,                 1.0654,                 1.4295,                0.69169,                0.87296,                0.82389,                0.52958,                  1.246,                 1.3546,                 1.9675,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.0713,                 1.1367,                 1.5034,                0.88722,                0.87468,                0.93272,                0.58307,                 1.1256,                 1.0917,                 1.7201,               0.001868,               0.001868,               0.001868
                     22,                 1.0251,                 1.1631,                 1.4628,                0.92303,                0.77778,                0.85054,                0.56247,                 1.1701,                 1.0836,                 1.8324,              0.0018614,              0.0018614,              0.0018614
                     23,                0.96995,                 1.0992,                 1.3865,                0.88885,                 0.8886,                0.90727,                0.55451,                 1.1339,                 1.0463,                 1.7684,              0.0018548,              0.0018548,              0.0018548
                     24,                0.93569,                 1.0123,                   1.39,                 0.8474,                0.94444,                0.93675,                0.62589,                 1.1453,                 1.0187,                 1.8129,              0.0018482,              0.0018482,              0.0018482
                     25,                0.95338,                 1.0359,                 1.3927,                0.88453,                0.88889,                 0.9453,                0.43756,                 1.6307,                 1.3501,                 2.0675,              0.0018416,              0.0018416,              0.0018416
                     26,                0.97767,                0.98864,                 1.4364,                0.85231,                0.96237,                0.97628,                0.55428,                 1.3254,                 1.4012,                  1.793,               0.001835,               0.001835,               0.001835
                     27,                0.92315,                0.95779,                 1.3591,                 0.8352,                0.88889,                0.89157,                0.52167,                 1.4513,                 1.0539,                 1.9066,              0.0018284,              0.0018284,              0.0018284
                     28,                0.89983,                0.97952,                 1.3872,                      1,                0.98971,                  0.995,                0.69576,                 1.1143,                0.80589,                 1.7156,              0.0018218,              0.0018218,              0.0018218
                     29,                0.98328,                 0.9801,                 1.4231,                0.93048,                0.94444,                0.98056,                0.67476,                 1.0669,                0.92755,                 1.6928,              0.0018152,              0.0018152,              0.0018152
                     30,                0.92711,                 1.0006,                 1.3813,                0.67381,                0.80399,                0.82481,                0.45009,                   1.44,                 1.2942,                 2.0114,              0.0018086,              0.0018086,              0.0018086
                     31,                0.90246,                 0.9515,                 1.3614,                0.93678,                0.82379,                0.93711,                0.61242,                 1.2135,                 0.9248,                 1.8704,               0.001802,               0.001802,               0.001802
                     32,                0.95063,                0.95361,                 1.4036,                0.77301,                      1,                0.93193,                0.60734,                 1.1565,                0.94813,                 1.6855,              0.0017954,              0.0017954,              0.0017954
                     33,                0.93297,                0.97456,                 1.3921,                0.83126,                0.88889,                0.91086,                0.60355,                 1.0431,                0.90889,                  1.575,              0.0017888,              0.0017888,              0.0017888
                     34,                0.93293,                0.91366,                 1.3799,                0.74982,                0.83259,                0.89424,                0.51843,                 1.3486,                0.99143,                 1.8756,              0.0017822,              0.0017822,              0.0017822
                     35,                0.91898,                0.93176,                 1.3746,                0.90506,                0.72222,                0.87193,                0.46984,                 1.2599,                 1.1923,                 1.8213,              0.0017756,              0.0017756,              0.0017756
                     36,                0.89581,                0.97059,                 1.3622,                0.94053,                0.88889,                0.96387,                0.61887,                 1.2185,                0.83582,                 1.9329,               0.001769,               0.001769,               0.001769
                     37,                0.95493,                0.90454,                 1.3964,                0.87726,                0.83333,                0.92261,                0.56204,                 1.2007,                 1.0711,                 1.8654,              0.0017624,              0.0017624,              0.0017624
                     38,                0.86587,                0.92991,                 1.3167,                0.80141,                0.83333,                0.83796,                0.52104,                 1.2746,                 1.2016,                 1.9895,              0.0017558,              0.0017558,              0.0017558
                     39,                0.89025,                 0.8445,                 1.3318,                0.82851,                0.88889,                0.85206,                0.55708,                 1.1967,                 1.1676,                  1.932,              0.0017492,              0.0017492,              0.0017492
                     40,                0.83589,                0.87491,                 1.3398,                0.83758,                0.88889,                0.88535,                0.59494,                 1.2352,                0.88837,                  1.985,              0.0017426,              0.0017426,              0.0017426
                     41,                0.80871,                0.79765,                 1.3031,                0.74976,                0.88889,                 0.8614,                0.54888,                 1.1912,                 1.1131,                 1.9034,               0.001736,               0.001736,               0.001736
                     42,                0.86687,                0.86607,                 1.3467,                0.82408,                 0.7809,                0.81979,                0.52769,                 1.2135,                 1.2638,                 1.9064,              0.0017294,              0.0017294,              0.0017294
                     43,                0.82448,                0.80243,                 1.3011,                0.94074,                0.88226,                0.92872,                0.70101,                0.95784,                0.86302,                 1.4907,              0.0017228,              0.0017228,              0.0017228
                     44,                0.91646,                0.81838,                 1.3415,                0.93752,                0.88889,                 0.9733,                0.69687,                 1.0139,                0.67571,                 1.7086,              0.0017162,              0.0017162,              0.0017162
                     45,                0.83446,                0.76175,                 1.2873,                0.89322,                0.92999,                0.96387,                0.70054,                 1.0149,                0.76263,                 1.6224,              0.0017096,              0.0017096,              0.0017096
                     46,                0.86959,                0.83999,                 1.3609,                0.94047,                0.87825,                0.89908,                0.63308,                 1.1322,                0.87468,                 1.7339,               0.001703,               0.001703,               0.001703
                     47,                0.85512,                0.85325,                 1.3584,                0.88148,                0.82671,                0.92154,                0.60158,                 1.2001,                0.93955,                 1.7638,              0.0016964,              0.0016964,              0.0016964
                     48,                0.91822,                0.91281,                 1.3816,                0.93299,                0.77377,                0.88172,                0.52421,                 1.3142,                 1.0886,                 1.9707,              0.0016898,              0.0016898,              0.0016898
                     49,                0.86374,                0.88252,                 1.3667,                0.79431,                0.94444,                0.93313,                 0.5984,                 1.2653,                0.89463,                 1.7784,              0.0016832,              0.0016832,              0.0016832
                     50,                0.88564,                0.83179,                 1.3373,                      1,                0.92754,                   0.99,                0.65944,                 1.1282,                0.86356,                 1.7138,              0.0016766,              0.0016766,              0.0016766
                     51,                0.76843,                0.72972,                 1.2387,                0.77918,                0.77778,                0.84234,                 0.5261,                 1.2537,                 1.2074,                 1.8742,                0.00167,                0.00167,                0.00167
                     52,                0.89413,                0.85191,                 1.3746,                0.90602,                0.94444,                0.93209,                0.58479,                 1.1524,                0.96374,                 1.8564,              0.0016634,              0.0016634,              0.0016634
                     53,                0.82168,                0.81286,                 1.2782,                0.98829,                0.94444,                0.96695,                0.60052,                 1.2434,                0.79369,                  1.911,              0.0016568,              0.0016568,              0.0016568
                     54,                0.78823,                0.75587,                 1.3211,                 0.6927,                0.88889,                0.85286,                0.52813,                  1.221,                 1.0672,                 1.7688,              0.0016502,              0.0016502,              0.0016502
                     55,                0.81003,                0.76662,                 1.2932,                0.94007,                0.87217,                0.93502,                0.57986,                 1.0744,                0.92563,                 1.5883,              0.0016436,              0.0016436,              0.0016436
                     56,                0.82611,                0.77173,                 1.3142,                0.89916,                0.99112,                0.97213,                0.64945,                 1.1136,                0.78597,                 1.5852,               0.001637,               0.001637,               0.001637
                     57,                0.76396,                0.71223,                 1.2529,                0.94228,                      1,                  0.995,                0.66131,                 1.0979,                0.75389,                 1.6158,              0.0016304,              0.0016304,              0.0016304
                     58,                0.81625,                0.71786,                  1.282,                0.98831,                      1,                  0.995,                0.68406,                 1.0676,                0.65905,                 1.5938,              0.0016238,              0.0016238,              0.0016238
                     59,                0.79612,                0.73366,                 1.2511,                0.81308,                      1,                0.95569,                0.67412,                0.95085,                0.73384,                 1.5277,              0.0016172,              0.0016172,              0.0016172
                     60,                0.75264,                0.70399,                  1.254,                0.98962,                0.94444,                   0.99,                0.67353,                 1.0215,                0.71943,                  1.526,              0.0016106,              0.0016106,              0.0016106
                     61,                0.72831,                 0.7117,                 1.2525,                0.92868,                0.83333,                0.91899,                0.66998,                0.99714,                0.72069,                 1.5961,               0.001604,               0.001604,               0.001604
                     62,                0.78023,                0.71244,                 1.2695,                0.88136,                0.82583,                0.89347,                0.62425,                 1.1222,                0.89292,                 1.7289,              0.0015974,              0.0015974,              0.0015974
                     63,                0.80496,                0.74284,                 1.2849,                0.95732,                0.83333,                0.94888,                0.67296,                 1.0161,                 0.8656,                 1.5296,              0.0015908,              0.0015908,              0.0015908
                     64,                0.80275,                0.74612,                 1.2907,                      1,                0.81686,                0.92553,                  0.607,                 1.1295,                0.93552,                 1.7373,              0.0015842,              0.0015842,              0.0015842
